repo,20221_value,20222_value,20223_value,20224_value,20225_value,20226_value,20227_value,20228_value,20229_value,202210_value,202211_value,202212_value
MicrosoftDocs/azure-docs,3221.61,3302.85,3602.62,3020.43,3139.18,2937.18,2986.11,3164.88,3326.35,3219.28,3142.08,2520.18
NixOS/nixpkgs,4709.28,3957.32,4152.01,4504.33,4466.66,4039.08,4306.16,4732.87,4423.74,4702.48,4690.57,4561.93
dotnet/runtime,2600.89,2440.22,2531.65,2396.73,2367.37,2513.15,2651.79,2822.17,2633.49,2247.9,2415.09,1923.43
elastic/kibana,2239.42,2304.51,2780.39,2232.96,2451.97,2258.71,2412.21,2492.01,2716.67,2323.77,2512.0,1945.13
firstcontributions/first-contributions,1861.86,1380.53,1439.61,1312.3,1806.75,1677.76,1912.84,2951.44,3651.65,9527.79,2615.64,1945.54
flutter/flutter,3150.7,3225.0,3305.56,2979.05,3481.76,3037.62,3093.0,3299.64,3450.87,3006.16,3160.65,2589.16
home-assistant/core,4023.09,4676.27,3864.39,3983.44,3577.48,3451.45,3962.79,4318.84,3998.84,4465.51,4311.88,4158.24
microsoft/vscode,3200.78,3593.07,3761.7,3652.98,3699.61,3411.75,3880.37,4379.7,3648.15,3600.09,3771.17,3933.53
pytorch/pytorch,2212.7,2200.29,2282.24,2387.52,2570.49,2752.27,2633.18,2921.55,2672.38,2839.17,2743.02,2496.53
rust-lang/rust,2315.1,1999.79,2141.41,2236.08,2180.93,2217.62,2461.57,2824.77,2359.71,2295.19,2390.57,2104.47
