name,issue_comment,open_issue,open_pull,review_comment,merged_pull,rank,value,rankDelta,valueDelta
Alibaba,111972,22397,35266,48412,26732,1,103368.49,0,21093.11
Baidu,79370,15580,27414,35072,21680,2,71636.82,0,10032.08
Ant group,83116,15944,17940,20815,14464,3,61897.32,0,6380.83
PingCAP,167814,8155,23052,60402,18380,4,48527.89,0,2329.36
Tencent,39949,10162,20777,7650,17725,5,39080.82,0,12565.41
ESPRESSIF,31974,4800,1823,2113,1165,6,20497.65,0,4312.86
ByteDance,17186,4567,7786,5388,6511,7,19028.51,4,10627.13
Fit2Cloud,30600,5624,13966,2307,12947,8,13871.88,1,4898.32
StarRocks,38333,3711,12901,14052,10921,9,12752.25,25,10679.05
Deepin,11741,752,8202,2364,7116,10,12033.71,23,9731.92
