name,issue_comment,open_issue,open_pull,review_comment,merged_pull,rank,value,rankDelta,valueDelta
Microsoft,1437317,189185,309685,456166,257123,1,824848.67,0,23406.34
Google,642832,69221,130672,173238,85317,2,360300.45,0,-47388.58
Amazon,324363,41639,120095,166140,89152,3,284502.71,0,57536.09
Meta,289375,27125,51183,95160,15418,4,155230.8,0,16537.37
Alibaba,111972,22397,35266,48412,26732,5,103368.49,1,21093.11
HashiCorp,117588,14012,48080,52684,39844,6,102213.21,1,22616.37
Elastic,239670,19782,50127,87962,44424,7,98408.28,-2,6988.55
VMWare,93077,20899,29490,52905,21788,8,85970.99,1,11881.1
IBM,78530,13162,32218,36182,23242,9,72074.49,-1,-3633.22
Baidu,79370,15580,27414,35072,21680,10,71636.82,1,10032.08
