name,issue_comment,open_issue,open_pull,review_comment,merged_pull,rank,value,rankDelta,valueDelta
PaddlePaddle/Paddle,1707,136,592,880,432,1,1184.93,0,-95.69
apache/doris,5408,111,851,602,722,2,1133.22,0,-63.34
StarRocks/starrocks,4222,137,1515,1024,1225,3,948.79,1,-42.05
pingcap/tidb,10034,227,497,748,378,4,844.19,1,77.23
ant-design/ant-design,1910,169,240,565,216,5,837.96,-2,-175.67
espressif/esp-idf,1184,182,19,17,7,6,686.66,0,-1.48
milvus-io/milvus,4242,236,345,127,254,7,659.52,0,33.82
apache/flink,788,0,204,1075,135,8,632.48,0,138.08
pingcap/docs-cn,1305,10,259,1150,209,9,478.29,13,141.57
apache/pulsar,665,55,136,604,111,10,431.6,7,68.11
apache/ozone,458,0,171,981,168,11,431.24,0,32.31
PaddlePaddle/PaddleOCR,884,155,19,3,13,12,421.64,-3,4.03
apache/shardingsphere,565,236,461,59,425,13,411.39,7,59.39
pingcap/docs,1636,4,310,872,224,14,408.29,11,79.97
matrixorigin/matrixone,1412,187,318,119,292,15,375.27,1,7.43
kata-containers/kata-containers,564,102,88,445,62,16,373.05,-4,-25.11
PaddlePaddle/PaddleNLP,494,99,102,191,76,17,366.78,-7,-36.58
apache/apisix,644,100,52,185,34,18,358.68,1,-0.64
open-mmlab/OpenMMLabCamp,651,77,3,0,2,19,352.49,500,337.64
taosdata/TDengine,182,69,268,66,233,20,348.13,-2,-14.02
metersphere/metersphere,1026,184,368,42,339,21,347.77,6,25.99
NervJS/taro,406,100,37,28,32,22,332.47,7,14.55
1Panel-dev/1Panel,941,146,120,6,121,23,325.19,-9,-48.82
open-mmlab/mmdetection,271,88,51,83,45,24,322.98,2,-4.57
apache/tvm,420,28,135,241,139,25,320.98,-12,-61.08
baidu/amis,484,119,135,46,122,26,316.23,-5,-34.92
Alluxio/alluxio,659,28,152,340,131,27,309.96,10,31.64
apache/dolphinscheduler,679,85,78,102,45,28,306.39,-5,-26.18
apache/iotdb,326,12,349,98,298,29,301.73,11,31.52
apache/echarts,493,115,17,7,6,30,301.22,3,19.61
karmada-io/karmada,884,45,77,436,60,31,296.58,3,15.05
ant-design/pro-components,341,121,14,9,11,32,291.39,-4,-29.46
alibaba/ali-dbhub,161,134,46,0,39,33,290.99,22,88.46
emqx/emqx,448,32,195,363,192,34,286.6,1,5.28
tikv/tikv,920,66,111,241,60,35,285.04,4,12.4
alibaba/nacos,459,85,28,16,18,36,280.67,-12,-51.61
datafuselabs/databend,541,49,214,201,202,37,278.47,-7,-33.24
web-infra-dev/rspack,414,123,144,204,124,38,273.16,-6,-13.81
apache/dubbo,525,68,109,60,99,39,268.74,-8,-42.53
pingcap/tiflash,1269,47,81,392,63,40,252.68,7,24.52
espressif/arduino-esp32,397,45,27,43,11,41,251.46,-26,-121.79
RT-Thread/rt-thread,219,27,143,128,106,42,239.33,0,-10.4
jumpserver/jumpserver,360,96,149,11,145,43,238.83,2,3.99
apache/inlong,96,123,114,330,99,44,238.26,15,48.04
goharbor/harbor,378,53,36,24,24,45,236.34,-9,-44.1
k3s-io/k3s,360,79,57,80,45,46,219.63,-3,-27.54
pingcap/tiflow,2252,66,127,59,80,47,218.61,-1,-9.77
umijs/umi,262,59,31,85,23,48,218.48,-4,-19.47
bytebase/bytebase,361,17,468,80,449,49,216.59,0,-0.38
PaddlePaddle/docs,162,1,69,432,36,50,204.78,4,-0.81
